domain,image,path,width,height,megapixels,aspect_ratio,label_count,luma_mean,luma_std,luma_p01,luma_p05,luma_p50,luma_p95,luma_p99,dark_frac,bright_frac,clip_frac,sat_mean,sat_std,colorfulness,edge_density,grad_mean,grad_p95,laplacian_var,entropy,fft_high_ratio,illum_nonuniformity,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15
actual,1.jpg,/root/autodl-tmp/Defect_dataset_16/images/1.jpg,5120,5120,26.2144,1.0,1,230.30250549316406,53.68296432495117,81.0,95.0,255.0,255.0,255.0,0.0,0.8191015625,0.77093505859375,0.0,0.0,0.0,0.02605224609375,18.93056869506836,89.1964111328125,303.4250183105469,1.3670856789065837,0.040615007281303406,48.128785160855685,0.0,0.0,0.0,0.0005932617350481451,0.007905273698270321,0.04350341856479645,0.05134277418255806,0.025827636942267418,0.008718261495232582,0.0072216796688735485,0.004926757887005806,0.004245605319738388,0.009013671427965164,0.01760009676218033,0.026899414137005806,0.7922021746635437
actual,10.jpg,/root/autodl-tmp/Defect_dataset_16/images/10.jpg,5120,5120,26.2144,1.0,2,221.3240966796875,56.2636604309082,85.0,98.0,255.0,255.0,255.0,0.0,0.7232177734375,0.6351416015625,0.0,0.0,0.0,0.04621337890625,27.156728744506836,165.27703857421875,405.5160827636719,1.9454000480606295,0.040718916803598404,45.41152970151832,0.0,0.0,0.0,3.9062499126885086e-05,0.0037841796875,0.03589111194014549,0.060454100370407104,0.04885254055261612,0.02939453162252903,0.014453125186264515,0.010134276933968067,0.013749999925494194,0.024431152269244194,0.03559814393520355,0.047880858182907104,0.6753368973731995
actual,100723252_K58825_F1B05-246_1_21.jpg,/root/autodl-tmp/Defect_dataset_16/images/100723252_K58825_F1B05-246_1_21.jpg,5120,5120,26.2144,1.0,2,47.44719314575195,19.591461181640625,28.0,30.0,43.0,81.0,114.0,0.1507763671875,0.00176025390625,0.00098388671875,0.0,0.0,0.0,0.01503662109375,15.391681671142578,48.60041046142578,105.99783325195312,2.0513026772508742,0.09472938627004623,14.581653747200333,0.0,0.15077637135982513,0.45390379428863525,0.2619311511516571,0.07951416075229645,0.03437500074505806,0.008962402120232582,0.0031860352028161287,0.0027221678756177425,0.0009765625,0.0005664062337018549,0.00045410156599245965,0.0004565429699141532,0.0004150390741415322,0.00039306640974245965,0.0013671874767169356
actual,100725103_K58794_F1B05-244_1_21.jpg,/root/autodl-tmp/Defect_dataset_16/images/100725103_K58794_F1B05-244_1_21.jpg,5120,5120,26.2144,1.0,1,50.193641662597656,20.269573211669922,29.0,30.0,46.0,87.0,105.0,0.08696533203125,0.0018603515625,0.000830078125,0.0,0.0,0.0,0.016357421875,15.179582595825195,45.099891662597656,104.1094741821289,2.081587810730139,0.08755452930927277,15.849309697540331,0.0,0.08696532994508743,0.44697996973991394,0.28895750641822815,0.09547363221645355,0.056145019829273224,0.01743408292531967,0.00213623046875,0.0011743163922801614,0.0008129882626235485,0.0006445312756113708,0.00048583984607830644,0.0004711913934443146,0.0004589843738358468,0.0005566406180150807,0.001303710974752903
actual,100726856_K58759_F1B05-242_1_21.jpg,/root/autodl-tmp/Defect_dataset_16/images/100726856_K58759_F1B05-242_1_21.jpg,5120,5120,26.2144,1.0,1,52.476112365722656,21.93902015686035,29.0,30.0,47.0,91.0,117.0,0.0869677734375,0.0018408203125,0.00091064453125,0.0,0.0,0.0,0.01857666015625,15.32614517211914,48.3735466003418,101.73975372314453,2.229459292700682,0.07307728379964828,17.66093653118094,0.0,0.08696777373552322,0.4176342785358429,0.24970458447933197,0.14009277522563934,0.07226074486970901,0.021511230617761612,0.004853515420109034,0.002009277231991291,0.0007958984351716936,0.0007495117024518549,0.0005371093866415322,0.0005322265787981451,0.0005102538852952421,0.0005371093866415322,0.001303710974752903
actual,100730000_K58690_F1B05-238_1_21.jpg,/root/autodl-tmp/Defect_dataset_16/images/100730000_K58690_F1B05-238_1_21.jpg,5120,5120,26.2144,1.0,1,50.146060943603516,19.37446403503418,29.0,30.0,46.0,84.0,105.0,0.09113037109375,0.001455078125,0.000625,0.0,0.0,0.0,0.01518310546875,13.32339859008789,37.33631134033203,95.79830932617188,2.0733735506612407,0.08330069482326508,15.278760683307503,0.0,0.09113036841154099,0.4291455149650574,0.3017822206020355,0.10807128995656967,0.051848143339157104,0.009956054389476776,0.0029589843470603228,0.0010083008091896772,0.0007006835658103228,0.0005786132533103228,0.0004931640578433871,0.0004589843738358468,0.0004125976702198386,0.00042724609375,0.0010278320405632257
actual,100731529_K58655_F1B05-236_1_22.jpg,/root/autodl-tmp/Defect_dataset_16/images/100731529_K58655_F1B05-236_1_22.jpg,5120,5120,26.2144,1.0,1,35.95454025268555,14.236860275268555,26.0,28.0,33.0,51.0,90.0,0.40272216796875,0.0009912109375,0.00034423828125,0.0,0.0,0.0,0.0138720703125,13.121804237365723,42.449974060058594,163.31056213378906,1.446402563531172,0.22775571048259735,6.774064050128637,0.0,0.40272217988967896,0.5144433379173279,0.06168457120656967,0.008618163876235485,0.003557128831744194,0.0022509766276925802,0.0014501953264698386,0.0012255859328433871,0.0008227538783103228,0.0006835937383584678,0.0005859375232830644,0.0004956054617650807,0.00046874998952262104,0.0003955078136641532,0.0005957031389698386
actual,100735953_K58553_F1B05-228_1_21.jpg,/root/autodl-tmp/Defect_dataset_16/images/100735953_K58553_F1B05-228_1_21.jpg,5120,5120,26.2144,1.0,1,42.726593017578125,17.55006980895996,28.0,30.0,39.0,65.0,105.0,0.142919921875,0.0023583984375,0.00133544921875,0.0,0.0,0.0,0.01447998046875,12.335485458374023,37.121421813964844,128.38284301757812,1.6204588211662914,0.12534351646900177,10.692819006330325,0.0,0.14291992783546448,0.6207373142242432,0.17740722000598907,0.03951416164636612,0.006608886644244194,0.004260254092514515,0.0019848633091896772,0.0011499023530632257,0.0008276367443613708,0.0006103515625,0.0005273437709547579,0.0006079101585783064,0.00048583984607830644,0.0005664062337018549,0.001791992224752903
actual,100737555_K58513_F1B05-226_1_21.jpg,/root/autodl-tmp/Defect_dataset_16/images/100737555_K58513_F1B05-226_1_21.jpg,5120,5120,26.2144,1.0,1,41.65666198730469,17.032238006591797,28.0,30.0,38.0,62.0,97.0,0.1508837890625,0.00242431640625,0.00135009765625,0.0,0.0,0.0,0.01480712890625,12.556611061096191,38.60051727294922,137.44082641601562,1.5253028685618963,0.14041396975517273,9.653859310926345,0.0,0.15088379383087158,0.6464794874191284,0.15983398258686066,0.025905761867761612,0.006374511867761612,0.0029809570405632257,0.0012719726655632257,0.0009472656529396772,0.0006372070056386292,0.0006079101585783064,0.0005444335984066129,0.0005566406180150807,0.0005517578101716936,0.0005957031389698386,0.0018286132253706455
actual,100739171_K58473_F1B05-224_1_21.jpg,/root/autodl-tmp/Defect_dataset_16/images/100739171_K58473_F1B05-224_1_21.jpg,5120,5120,26.2144,1.0,1,43.21074676513672,17.643850326538086,28.0,30.0,39.0,67.0,107.0,0.14266357421875,0.0020556640625,0.00112548828125,0.0,0.0,0.0,0.01406494140625,12.35913372039795,37.121421813964844,117.6413803100586,1.6899256713388373,0.11219356954097748,11.37786926741414,0.0,0.14266356825828552,0.5977197289466858,0.1869165003299713,0.052583009004592896,0.007250976748764515,0.0037915038410574198,0.002792968647554517,0.0011889648158103228,0.0008007812430150807,0.0007031250279396772,0.0004980468656867743,0.0005004882696084678,0.0005346679827198386,0.0005175780970603228,0.0015380859840661287
