epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.936,1.82042,3.10982,2.44874,0.41539,0.46732,0.41887,0.23721,1.80044,4.6609,2.44168,4.99789e-05,4.99789e-05,0.0500711
2,1310.37,1.52967,2.09605,2.13128,0.67026,0.72862,0.71447,0.46253,1.29976,3.23323,1.94663,9.82926e-05,9.82926e-05,0.000119372
3,1949.42,1.33999,1.52351,1.95628,0.7597,0.75348,0.8005,0.55474,1.19659,1.76552,1.84563,9.33683e-05,9.33683e-05,9.33683e-05
4,2585.1,1.23718,1.33222,1.82803,0.83325,0.79323,0.86608,0.61574,1.1082,1.63602,1.72467,8.55018e-05,8.55018e-05,8.55018e-05
5,3220.77,1.19896,1.24325,1.76329,0.8709,0.78412,0.86577,0.63594,1.03881,1.59726,1.68912,7.525e-05,7.525e-05,7.525e-05
6,3855.95,1.12151,1.16466,1.72715,0.83217,0.8475,0.89426,0.66805,0.98801,1.33122,1.63863,6.33115e-05,6.33115e-05,6.33115e-05
7,4491.11,1.04626,1.06769,1.68925,0.89214,0.84428,0.9114,0.67074,0.96747,1.51753,1.61759,5.05e-05,5.05e-05,5.05e-05
8,5125.92,1.01912,1.02418,1.64518,0.87751,0.8543,0.91152,0.69023,0.91419,1.29718,1.57668,3.76885e-05,3.76885e-05,3.76885e-05
9,5761.17,0.98319,0.98789,1.61657,0.86792,0.88444,0.912,0.69782,0.8993,1.34477,1.56034,2.575e-05,2.575e-05,2.575e-05
10,6396.85,0.95528,0.93317,1.60043,0.88551,0.88742,0.92153,0.70614,0.89025,1.30805,1.53468,1.54982e-05,1.54982e-05,1.54982e-05
11,7032.01,0.92361,0.91008,1.56649,0.89693,0.88613,0.92384,0.7071,0.87982,1.2814,1.53585,7.63174e-06,7.63174e-06,7.63174e-06
12,7667.95,0.92036,0.90486,1.55143,0.89316,0.8827,0.92483,0.71253,0.87195,1.25704,1.52748,2.68667e-06,2.68667e-06,2.68667e-06
