epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.194,1.25946,1.601,1.8442,0.73964,0.60833,0.74678,0.50929,1.42505,3.24743,1.99747,4.9979e-05,4.9979e-05,0.050071
2,1338.39,1.17062,1.39392,1.75232,0.85006,0.85447,0.90522,0.65664,1.01956,1.51559,1.62438,9.82926e-05,9.82926e-05,0.000119336
3,2003.25,1.0622,1.06523,1.68221,0.85616,0.86453,0.90408,0.65583,0.99294,1.40924,1.63206,9.33683e-05,9.33683e-05,9.33683e-05
4,2668.78,1.00124,1.01042,1.61816,0.86363,0.88184,0.92076,0.68147,0.9736,1.36962,1.5936,8.55018e-05,8.55018e-05,8.55018e-05
5,3336.31,0.98574,0.9639,1.59779,0.90861,0.85317,0.92002,0.68315,0.94797,1.32709,1.56761,7.525e-05,7.525e-05,7.525e-05
6,4000.87,0.94994,0.91261,1.55655,0.88607,0.90461,0.93479,0.71169,0.92209,1.26881,1.51425,6.33115e-05,6.33115e-05,6.33115e-05
7,4655.19,0.92051,0.86519,1.52419,0.91666,0.90387,0.9388,0.71823,0.90478,1.24204,1.50185,5.05e-05,5.05e-05,5.05e-05
8,5292.47,0.90288,0.84442,1.50697,0.89528,0.9121,0.94197,0.72219,0.88898,1.24538,1.48199,3.76885e-05,3.76885e-05,3.76885e-05
9,5927.21,0.86862,0.80204,1.4822,0.90252,0.90677,0.94099,0.72663,0.88123,1.20662,1.47798,2.575e-05,2.575e-05,2.575e-05
10,6566.2,0.84685,0.77935,1.45113,0.90332,0.9041,0.93501,0.72414,0.87463,1.09667,1.47137,1.54982e-05,1.54982e-05,1.54982e-05
11,7210.68,0.8316,0.75722,1.4339,0.92922,0.88936,0.94305,0.73485,0.86232,1.14906,1.45815,7.63174e-06,7.63174e-06,7.63174e-06
12,7853.27,0.82948,0.7575,1.44521,0.90625,0.90924,0.94397,0.73461,0.86237,1.13846,1.45869,2.68667e-06,2.68667e-06,2.68667e-06
