epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,910.815,1.74277,2.9105,2.38993,0.63232,0.5153,0.56706,0.31075,1.47309,2.7542,2.18953,4.99848e-05,4.99848e-05,0.0500651
2,1788.98,1.42749,1.90787,2.05454,0.78687,0.77367,0.82161,0.57458,1.14603,1.90836,1.8738,9.82984e-05,9.82984e-05,0.000113455
3,2664.03,1.23239,1.34487,1.92384,0.83359,0.80393,0.86401,0.62822,1.04122,1.69751,1.78213,9.33683e-05,9.33683e-05,9.33683e-05
4,3537.61,1.13401,1.15996,1.81462,0.89646,0.84979,0.90097,0.65909,1.06446,1.35916,1.75021,8.55018e-05,8.55018e-05,8.55018e-05
5,4410.87,1.07676,1.06999,1.74589,0.87194,0.82134,0.90416,0.67656,0.96918,1.54215,1.66969,7.525e-05,7.525e-05,7.525e-05
6,5284.95,1.01619,0.98679,1.67666,0.87781,0.86749,0.92273,0.70073,0.9331,1.38516,1.59238,6.33115e-05,6.33115e-05,6.33115e-05
7,6157.96,0.96444,0.91454,1.62357,0.92128,0.88717,0.94053,0.71717,0.89252,1.27875,1.5793,5.05e-05,5.05e-05,5.05e-05
8,7031.87,0.941,0.87419,1.59117,0.9141,0.88937,0.93239,0.7086,0.89061,1.34916,1.57583,3.76885e-05,3.76885e-05,3.76885e-05
9,7904.66,0.90506,0.82567,1.54191,0.91626,0.89862,0.94271,0.72611,0.86499,1.22199,1.54882,2.575e-05,2.575e-05,2.575e-05
10,8777.14,0.87818,0.79559,1.53064,0.9225,0.90063,0.93736,0.71808,0.85628,1.26014,1.53696,1.54982e-05,1.54982e-05,1.54982e-05
11,9649.47,0.86421,0.78199,1.50813,0.91913,0.8912,0.93938,0.71971,0.85104,1.28866,1.52938,7.63174e-06,7.63174e-06,7.63174e-06
12,10521.4,0.85338,0.76836,1.48982,0.92733,0.89128,0.93933,0.72284,0.85022,1.23926,1.53028,2.68667e-06,2.68667e-06,2.68667e-06
