epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.918,1.14153,1.37954,1.70587,0.84185,0.74342,0.83327,0.59018,1.19034,2.18199,2.0179,2.49896e-05,2.49896e-05,0.0500458
2,1324.43,1.03697,1.15104,1.60348,0.86396,0.88141,0.92958,0.71091,0.89179,1.29423,1.48415,4.8106e-05,4.8106e-05,6.89047e-05
3,2004.55,1.00183,1.08645,1.57313,0.90631,0.9032,0.93627,0.7118,0.89677,1.12241,1.4784,4.27509e-05,4.27509e-05,4.27509e-05
4,2651.55,0.97365,1.05491,1.54312,0.90502,0.87012,0.93053,0.71918,0.86968,1.22892,1.45507,3.47214e-05,3.47214e-05,3.47214e-05
5,3299.15,0.95066,1.02882,1.52598,0.89484,0.90827,0.93734,0.71787,0.86385,1.20337,1.4544,2.525e-05,2.525e-05,2.525e-05
6,3948.06,0.94144,0.98796,1.51381,0.91752,0.89638,0.94191,0.72517,0.85532,1.35895,1.44279,1.57786e-05,1.57786e-05,1.57786e-05
7,4598.64,0.92758,0.99001,1.49053,0.91649,0.88934,0.94467,0.72437,0.85051,1.19131,1.43982,7.74911e-06,7.74911e-06,7.74911e-06
8,5247.85,0.90929,0.95663,1.47983,0.91692,0.89371,0.94379,0.73139,0.84266,1.20256,1.43002,2.38398e-06,2.38398e-06,2.38398e-06
