epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.504,1.064,1.21927,1.61626,0.87483,0.65303,0.8026,0.5508,1.35699,3.31204,2.09706,2.49892e-05,2.49892e-05,0.0500466
2,1304.1,0.9799,1.03961,1.53027,0.90555,0.9011,0.93798,0.70747,0.94908,1.14705,1.56403,4.81056e-05,4.81056e-05,6.96946e-05
3,1945.5,0.93866,0.98002,1.49699,0.89762,0.91301,0.94259,0.71532,0.91441,1.24337,1.53645,4.27509e-05,4.27509e-05,4.27509e-05
4,2584.53,0.92247,0.94257,1.47773,0.92284,0.88765,0.93977,0.71483,0.90682,1.09519,1.52662,3.47214e-05,3.47214e-05,3.47214e-05
5,3210.05,0.8933,0.92654,1.45062,0.92234,0.89505,0.94574,0.72616,0.89509,1.45611,1.53136,2.525e-05,2.525e-05,2.525e-05
6,3835.54,0.87786,0.89547,1.43958,0.92015,0.90664,0.94132,0.71813,0.91328,1.17724,1.53843,1.57786e-05,1.57786e-05,1.57786e-05
7,4460.48,0.86549,0.87984,1.42748,0.91967,0.8983,0.93981,0.72704,0.89111,1.25519,1.52682,7.74911e-06,7.74911e-06,7.74911e-06
8,5085.57,0.85782,0.86773,1.41321,0.90702,0.90988,0.94024,0.73267,0.88721,1.16561,1.51371,2.38398e-06,2.38398e-06,2.38398e-06
