epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,673.208,1.13953,1.36251,1.69558,0.84125,0.50184,0.6336,0.42151,1.38464,2.86144,2.1289,4.99783e-05,4.99783e-05,0.0500717
2,1298.36,1.05603,1.16924,1.61254,0.88468,0.84906,0.89724,0.6705,1.00241,1.49382,1.63127,9.8292e-05,9.8292e-05,0.000120022
3,1920.07,0.96573,0.9092,1.55713,0.91112,0.89799,0.93,0.69698,0.99364,1.16915,1.61193,9.33683e-05,9.33683e-05,9.33683e-05
4,2541.3,0.9495,0.88179,1.52596,0.91097,0.89682,0.932,0.69515,0.98952,1.09283,1.60663,8.55018e-05,8.55018e-05,8.55018e-05
5,3164.48,0.91639,0.8354,1.50362,0.92962,0.90031,0.94304,0.71224,0.94071,1.44673,1.54244,7.525e-05,7.525e-05,7.525e-05
6,3786.85,0.88977,0.80184,1.4755,0.92504,0.89586,0.92892,0.71512,0.92448,1.22392,1.55971,6.33115e-05,6.33115e-05,6.33115e-05
7,4409.46,0.86405,0.76306,1.45673,0.93448,0.88541,0.93717,0.70626,0.9361,1.1239,1.56775,5.05e-05,5.05e-05,5.05e-05
8,5031.02,0.84932,0.74968,1.43344,0.94201,0.88513,0.94249,0.71737,0.91513,1.11086,1.52886,3.76885e-05,3.76885e-05,3.76885e-05
9,5653.11,0.8244,0.70732,1.4136,0.93902,0.90748,0.94455,0.73439,0.88982,1.04719,1.50106,2.575e-05,2.575e-05,2.575e-05
10,6273.76,0.7893,0.69069,1.38149,0.9485,0.90282,0.94654,0.7314,0.90928,1.00873,1.52191,1.54982e-05,1.54982e-05,1.54982e-05
11,6894.55,0.77829,0.67434,1.36775,0.93429,0.90131,0.94435,0.73212,0.8902,1.03739,1.50163,7.63174e-06,7.63174e-06,7.63174e-06
12,7515.14,0.7864,0.68174,1.36918,0.94863,0.89668,0.94506,0.73552,0.88494,1.02534,1.50137,2.68667e-06,2.68667e-06,2.68667e-06
