epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,667.743,1.26138,1.64696,1.86312,0.76854,0.6525,0.73526,0.49193,1.25324,1.97602,1.84041,2.49896e-05,2.49896e-05,0.0500458
2,1314.78,1.15274,1.37692,1.74184,0.86454,0.85027,0.90758,0.67897,0.94437,1.2404,1.5899,4.8106e-05,4.8106e-05,6.8948e-05
3,1959.26,1.10304,1.28518,1.68358,0.84649,0.87209,0.9095,0.66443,0.95635,1.46378,1.58875,4.27509e-05,4.27509e-05,4.27509e-05
4,2603.46,1.06211,1.20292,1.65118,0.81048,0.87889,0.91272,0.66943,0.91257,1.39672,1.55858,3.47214e-05,3.47214e-05,3.47214e-05
5,3249.36,1.03492,1.15478,1.62255,0.84051,0.89758,0.92284,0.71236,0.86222,1.56927,1.51475,2.525e-05,2.525e-05,2.525e-05
6,3896.36,1.01127,1.1248,1.59807,0.88319,0.89079,0.93045,0.70462,0.86287,1.31633,1.49894,1.57786e-05,1.57786e-05,1.57786e-05
7,4543.49,0.99997,1.11057,1.58651,0.86553,0.90001,0.93153,0.71044,0.85519,1.38172,1.50311,7.74911e-06,7.74911e-06,7.74911e-06
8,5191.11,0.98261,1.08309,1.5776,0.86091,0.90205,0.92941,0.71129,0.8479,1.45863,1.49767,2.38398e-06,2.38398e-06,2.38398e-06
