epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,717.762,1.05203,1.20029,1.59203,0.79922,0.76816,0.81854,0.57551,1.3291,16.1055,2.05366,2.49902e-05,2.49902e-05,0.0500445
2,1410.38,0.96032,1.00214,1.50447,0.9204,0.89648,0.93913,0.72216,0.8834,1.12025,1.50787,4.81066e-05,4.81066e-05,6.76226e-05
3,2138.45,0.91273,0.94466,1.46201,0.89947,0.90649,0.92315,0.7042,0.89827,1.15525,1.50767,4.27509e-05,4.27509e-05,4.27509e-05
4,2828.52,0.89661,0.90904,1.44228,0.91526,0.89025,0.93212,0.71034,0.88361,1.17897,1.51133,3.47214e-05,3.47214e-05,3.47214e-05
5,3518.8,0.89432,0.90935,1.43452,0.91607,0.9075,0.93958,0.72876,0.85034,1.20287,1.47542,2.525e-05,2.525e-05,2.525e-05
6,4209.27,0.85438,0.84898,1.40178,0.92606,0.90404,0.93967,0.72769,0.85396,1.14933,1.483,1.57786e-05,1.57786e-05,1.57786e-05
7,4899.61,0.85332,0.84511,1.40424,0.92095,0.89675,0.94049,0.73601,0.82662,1.15201,1.45681,7.74911e-06,7.74911e-06,7.74911e-06
8,5590.4,0.83868,0.83938,1.39976,0.92854,0.89739,0.94019,0.73126,0.83516,1.16265,1.46525,2.38398e-06,2.38398e-06,2.38398e-06
