epoch,layer,domain_probe_auc,train_activation_enrichment,actual_activation_enrichment,train_counterfactual_cosine,actual_counterfactual_cosine
40,8,1.0,1.7048834918814901,1.0894649178163995,0.9985050559043884,0.9931901097297668
40,11,1.0,0.9547287587354295,0.9887037956779822,0.9917712807655334,0.9961832165718079
40,22,1.0,2.300016706527181,1.245079165595191,0.9952695965766907,0.9897430539131165
40,26,1.0,2.3201854458866715,1.2867368200317182,0.99688321352005,0.991516649723053
40,30,1.0,2.2271753172392814,1.197133524284381,0.9962987303733826,0.9931466579437256
40,34,1.0,2.4998955478211413,1.178509717049262,0.996697723865509,0.9969183802604675
40,2,1.0,1.2168402451650928,1.03972855570203,0.977672815322876,0.9734882712364197
40,5,1.0,1.3404791155182896,1.0723463094689683,0.9961497783660889,0.9910383820533752
40,8,1.0,1.7048834918814901,1.0894649178163995,0.9985050559043884,0.9931901097297668
40,11,1.0,0.9547287587354295,0.9887037956779822,0.9917712807655334,0.9961832165718079
40,22,1.0,2.300016706527181,1.245079165595191,0.9952695965766907,0.9897430539131165
40,26,1.0,2.3201854458866715,1.2867368200317182,0.99688321352005,0.991516649723053
40,30,1.0,2.2271753172392814,1.197133524284381,0.9962987303733826,0.9931466579437256
40,34,1.0,2.4998955478211413,1.178509717049262,0.996697723865509,0.9969183802604675
